condition,review_body,rating,sentiment
Heart Failure,drug coupl month alreadi told kidney taken knock mg twice day felt uneasi start stop take sinc learn kidney appoint cardiologist prescrib drug coupl week take old ramipril til check take prescrib drug someth normal high prais dr check time plus price ridicul anyon afford unless mega buck present introduct plan give free soon run,1.0,Negative
Pain,pain medicin sinc degen disc diseas start surgeri herniat disc l l l l went quit medicin trial found ultram one work great l herniat last epidur receiv trigger sever sciatic pain visit ed given dilaudid mg intramuscular sent home script oral mg tablet need ultram gabapentin dilaudid altern ultram day dilaudid night still keep work littl longer next spinal surgeri ultram not replac dilaudid found keep alert pain level within pain toler rang,7.0,Neutral
Birth Control,taken various pill past year quasens allow period year great thing period get normal length pill user day slight heavier got regular month pill slight cramp day start month pill still noth like agoni no pill cramp nightmar overal love not deal messi bleed four time year slight increas cramp one day worth hope help,8.0,Positive
Endometriosis,fourth month lupron cycl endometriosi no period no pain get hot flash littl weight gain least problem shot joint pain worst morn get bed hand leg feet worst not bad throughout day sit sometim get pain start,7.0,Neutral
Acne,go birth control mild acn want go birth control clear skin trinessa total opposit made skin ten time wors would wake everi morn new huge welt somewher face horribl pimpl around mouth jawlin continu use birth control hope initi break would clear like everyon said would month skin still horribl day stop use trinessa skin clear almost instant would not recommend birth control anyon horribl even almost four month still scar pleas find differ birth control,1.0,Negative
Birth Control,experi pill go okay rd pack no bleed spot hour get cramp time period come notic becam emot late fee like cri lot someon tell someth get realli sensit boob get sore gone cup size get acn time period hunger time crave fri food like pill wish emot sex drive awesom hope get irregular period,7.0,Neutral
Bipolar Disorde,took mgs zyprexa contain symbyax night year medicin work well first year around year four start sever side effect not realiz zyprexa work well suffer increas seizur three year bad one wound hospit emerg room er doctor inform zyprexa caus problem regular doctor deni zyprexa contribut factor seizur quit zyprexa cold turkey say least absolut horribl experi wean drug long period time even get readi horrend withdraw symptom last dose,3.0,Negative
Vaginal Yeast Infection,clear symptom quick no side effect,10.0,Positive
Erectile Dysfunction,stuff absolut crank wonder take half less mg tablet hour power perform,10.0,Positive
Ovarian Cysts,two larg ovarian cyst extrem pain put er dr prescrib mononessa finish first pack ultrasound today one cyst complet gone much smaller week pill experienc pain cyst anymor thing first week pill extrem nauseous also seem right acn almost complet gone,8.0,Positive
"Diabetes, Type 2",week far no problem,8.0,Positive
Depression,sever bout anger depress turn physician therapist physician put citalopram mind start clear shock live mani year therapist help defin need move forward afraid without citalopram never want return old state mind,10.0,Positive
Restless Legs Syndrome,suffer restless leg syndrom sinc child year ago start requip caus sever nausea mirapex answer,10.0,Positive
Birth Control,insert april uncomfort im children still found uncomfort doctor reinsert let heavi breath slid last period april havent period sinc issu sensit emot want sex time husband love,8.0,Positive
Birth Control,start pill like teen rememb take went doctor told skyla get probabl pain thing ever cervex soften get medicin make soften realli bad cramp day even miss littl bit school hate pain not stand regret get realli love still get period ever month dr said normal skyla love not worri take pill worri someth accident happen total recommend everi bodi especi teen,10.0,Positive
Erectile Dysfunction,work fantast feel like twenti,9.0,Positive
Gastroenteritis,take occasion nausea due c diff help lot take pinch mg dissolv pill,10.0,Positive
Pain,cymbalta year bad truck wreck neck fuse take mg hydrocodon kept take care compani start mg cymbalta six month went mg thing far great wife happi bad temper gone side affect sweat bad night less sleep life saver,9.0,Positive
Depression,anxieti depress issu due mani life factor told wellbutrin would good option fair mild first day euphor feel everyon talk end day anger kick point take walk calm relax weird kick feel hard describ life got flat feel anyth flat felt like lobotomi someth parti last week friend ask stone look forgot take one day felt great day joy emption fun took next day felt horribl cold turkey happi not,3.0,Negative
Weight Loss,skinni life due medic issu lost weight end lbs hospit stay nutritionist told megac said tri see help got hospit went pick medic start right away start end novemb gain lbs far cant happier no side effect besid not get period definit recommend megac,10.0,Positive
Anxiety,tri everi medic sun anxieti born anxious alway said doctor put klonopin long term anxieti medic mind miracl prescrib mg x night need anxieti insomnia time divorc found abl wake next day without feel groggi taken night panic anxieti set allow calm get hardest moment take day truli help,10.0,Positive
Birth Control,birth control bad stop three month lot side effect within past three month terribl acid reflex nausea heavi bleed migrain face broke terribl definit not birth control,1.0,Negative
Erectile Dysfunction,amaz tri viagra lot doubt impress like year old tri mg first use mg canada generic brand think usa not generic avail,10.0,Positive
